,Name,Imports,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputSplit,,Abhinay Nagpal,,,,,,,,,,,,,Abhinay Nagpal
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.RecordReader,,Ajay Bhat,,,,,,,,,,,,,Abhinay Nagpal
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.TaskAttemptContext,148,Aljoscha Krettek,,,,,,,,,,,,,Abhinay Nagpal
,,,,Artem Tsikiridis,,,,,,,,,,,,,Ajay Bhat
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.conf.Configurable,,ARUNACHALAM THIRUPATHI,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.conf.Configuration,,Bhavani Sudha Saktheeswaran,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputFormat,,Bhupesh Bansal,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputSplit,,Chinmay Soman,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.JobContext,,Fabian Hueske,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.RecordReader,,faisalmoeen,,,,,,,,,,,,,Artem Tsikiridis
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.TaskAttemptContext,127,Felix GV,,,,,,,,,,,,,Artem Tsikiridis
,,,,FelixNeutatz,,,,,,,,,,,,,Artem Tsikiridis
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.io.Writable,,fpompermaier,,,,,,,,,,,,,Arunachalam Thirupathi
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputSplit,95,Gaojie Liu,,,,,,,,,,,,,Bhavani Sudha Saktheeswaran
,,,,Greg Hogan,,,,,,,,,,,,,Chinmay Soman
Ufuk Celebi  ,Ufuk Celebi,import org.apache.hadoop.io.Text,,Igor Berman,,,,,,,,,,,,,Chinmay Soman
Ufuk Celebi  ,Ufuk Celebi,import org.apache.hadoop.mapreduce.Job,238,Ivan Mushketyk,,,,,,,,,,,,,Fabian Hueske
,,,,Jay Kreps,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.fs.Path,,Jeff Zhang,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.io.IntWritable,,Josh Mahonin,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.io.LongWritable,,kl0u,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.io.Text,,Kostas Kloudas,,,,,,,,,,,,,faisalmoeen
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.Job,,Lasse Dalegaard,,,,,,,,,,,,,Felix GV
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.lib.input.TextInputFormat,,lrajaram,,,,,,,,,,,,,Felix GV
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.lib.output.TextOutputFormat,120,Martin Liesenberg,,,,,,,,,,,,,Felix GV
,,,,Max,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,Maximilian Michels,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,,mingliang,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.JobConf,,Niels Basjes,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.OutputCollector,,Prabhjyot Singh,,,,,,,,,,,,,FelixNeutatz
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reducer,,Prasad Wagle,,,,,,,,,,,,,FelixNeutatz
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reporter,213,Robert Metzger,,,,,,,,,,,,,fpompermaier
,,,,Roshan Sumbaly,,,,,,,,,,,,,fpompermaier
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,Sebastian Klemke,,,,,,,,,,,,,fpompermaier
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,,sewen,,,,,,,,,,,,,Jay Kreps
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.JobConf,,Sijie Guo,,,,,,,,,,,,,Jay Kreps
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Mapper,,Stephan Ewen,,,,,,,,,,,,,Jay Kreps
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.OutputCollector,,StephanEwen,,,,,,,,,,,,,Kostas Kloudas
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reporter,182,Till Rohrmann,,,,,,,,,,,,,Lasse Dalegaard
,,,,twalthr,,,,,,,,,,,,,Lasse Dalegaard
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,Ufuk Celebi,,,,,,,,,,,,,lrajaram
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,,yildirim,,,,,,,,,,,,,Martin Liesenberg
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,Martin Liesenberg
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.OutputCollector,,,,,,,,,,,,,,,Martin Liesenberg
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,Maximilian Michels
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reporter,265,,,,,,,,,,,,,,Maximilian Michels
,,,,,,,,,,,,,,,,,Niels Basjes
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,,,,,,,,,,,,,,Robert Metzger
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,62,,,,,,,,,,,,,,Robert Metzger
,,,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.io.LongWritable,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,Robert Metzger
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Mapper,,,,,,,,,,,,,,,Robert Metzger
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.OutputCollector,,,,,,,,,,,,,,,Robert Metzger
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,Robert Metzger
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reporter,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.mapred.TextInputFormat,,,,,,,,,,,,,,,Roshan Sumbaly
twalthr           ,twalthr,import org.apache.hadoop.mapred.TextOutputFormat,133,,,,,,,,,,,,,,Roshan Sumbaly
,,,,,,,,,,,,,,,,,Sebastian Klemke
Fabian Hueske     ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,139,,,,,,,,,,,,,,Stephan Ewen
,,,,,,,,,,,,,,,,,StephanEwen
Till Rohrmann  ,Till Rohrmann,import org.apache.hadoop.io.Writable,72,,,,,,,,,,,,,,Till Rohrmann
,,,,,,,,,,,,,,,,,twalthr
Stephan Ewen  ,Stephan Ewen,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,twalthr
Stephan Ewen  ,Stephan Ewen,import org.apache.hadoop.io.WritableComparator,206,,,,,,,,,,,,,,twalthr
,,,,,,,,,,,,,,,,,twalthr
Stephan Ewen  ,Stephan Ewen,import org.apache.hadoop.io.Writable,84,,,,,,,,,,,,,,twalthr
,,,,,,,,,,,,,,,,,twalthr
Till Rohrmann  ,Till Rohrmann,import org.apache.hadoop.io.WritableComparable,78,,,,,,,,,,,,,,twalthr
,,,,,,,,,,,,,,,,,twalthr
Stephan Ewen    ,Stephan Ewen,import org.apache.hadoop.io.Writable,83,,,,,,,,,,,,,,Ufuk Celebi
,,,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Mapper,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reporter,133,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reporter,168,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reporter,142,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.OutputCollector,59,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.io.Writable,154,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Robert Metzger  ,Robert Metzger,import org.apache.hadoop.io.NullWritable,,,,,,,,,,,,,,,
twalthr         ,twalthr,import org.apache.hadoop.io.Writable,152,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.io.Writable,188,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.conf.Configuration,160,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.WritableComparable,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapreduce.JobID,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapreduce.RecordReader,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapreduce.TaskAttemptID,410,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.conf.Configuration,229,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.hbase.client.Mutation,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.hbase.client.Put,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.hbase.mapreduce.TableOutputFormat,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.hbase.util.Bytes,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.mapreduce.Job,201,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.hbase.client.Result,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.hbase.client.Scan,,,,,,,,,,,,,,,
fpompermaier  ,fpompermaier,import org.apache.hadoop.hbase.util.Bytes,92,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
yildirim          ,yildirim,import org.apache.hadoop.hbase.HBaseConfiguration,,,,,,,,,,,,,,,
yildirim          ,yildirim,import org.apache.hadoop.hbase.client.HTable,,,,,,,,,,,,,,,
yildirim          ,yildirim,import org.apache.hadoop.hbase.client.Put,,,,,,,,,,,,,,,
yildirim          ,yildirim,import org.apache.hadoop.hbase.util.Bytes,113,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
StephanEwen     ,StephanEwen,import org.apache.hadoop.hbase.HBaseConfiguration,,,,,,,,,,,,,,,
StephanEwen     ,StephanEwen,import org.apache.hadoop.hbase.client.HTable,,,,,,,,,,,,,,,
StephanEwen     ,StephanEwen,import org.apache.hadoop.hbase.client.Result,,,,,,,,,,,,,,,
fpompermaier    ,fpompermaier,import org.apache.hadoop.hbase.client.ResultScanner,,,,,,,,,,,,,,,
StephanEwen     ,StephanEwen,import org.apache.hadoop.hbase.client.Scan,,,,,,,,,,,,,,,
StephanEwen     ,StephanEwen,import org.apache.hadoop.hbase.util.Bytes,,,,,,,,,,,,,,,
StephanEwen     ,StephanEwen,import org.apache.hadoop.hbase.util.Pair,253,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aljoscha Krettek  ,Aljoscha Krettek,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Aljoscha Krettek  ,Aljoscha Krettek,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,
Aljoscha Krettek  ,Aljoscha Krettek,import org.apache.hadoop.fs.LocalFileSystem,330,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aljoscha Krettek  ,Aljoscha Krettek,import org.apache.hadoop.fs.FileSystem,1129,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
kl0u  ,kl0u,import org.apache.hadoop.fs.FSDataOutputStream,,,,,,,,,,,,,,,
kl0u  ,kl0u,import org.apache.hadoop.fs.FileUtil,,,,,,,,,,,,,,,
kl0u  ,kl0u,import org.apache.hadoop.hdfs.MiniDFSCluster,300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
kl0u  ,kl0u,import org.apache.hadoop.fs.FSDataOutputStream,,,,,,,,,,,,,,,
kl0u  ,kl0u,import org.apache.hadoop.fs.FileUtil,,,,,,,,,,,,,,,
kl0u  ,kl0u,import org.apache.hadoop.hdfs.MiniDFSCluster,447,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Robert Metzger      ,Robert Metzger,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Robert Metzger      ,Robert Metzger,import org.apache.hadoop.fs.FSDataOutputStream,,,,,,,,,,,,,,,
Robert Metzger      ,Robert Metzger,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,
Robert Metzger      ,Robert Metzger,import org.apache.hadoop.fs.FileUtil,,,,,,,,,,,,,,,
Robert Metzger      ,Robert Metzger,import org.apache.hadoop.hdfs.MiniDFSCluster,190,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Stephan Ewen      ,Stephan Ewen,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Stephan Ewen      ,Stephan Ewen,import org.apache.hadoop.hdfs.MiniDFSCluster,337,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.InputFormat,,,,,,,,,,,,,,,
FelixNeutatz       ,FelixNeutatz,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,
FelixNeutatz       ,FelixNeutatz,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
FelixNeutatz       ,FelixNeutatz,import org.apache.hadoop.mapreduce.RecordReader,,,,,,,,,,,,,,,
FelixNeutatz       ,FelixNeutatz,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,
FelixNeutatz       ,FelixNeutatz,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,229,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
Ajay Bhat          ,Ajay Bhat,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.OutputCommitter,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.OutputFormat,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.RecordWriter,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.TaskAttemptContext,197,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.FileInputFormat,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.FileSplit,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.InputFormat,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.InputSplit,,,,,,,,,,,,,,,
FelixNeutatz       ,FelixNeutatz,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.JobConfigurable,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.RecordReader,,,,,,,,,,,,,,,
FelixNeutatz       ,FelixNeutatz,import org.apache.hadoop.mapred.Reporter,297,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.JobConfigurable,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.JobContext,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.OutputCommitter,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.OutputFormat,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.RecordWriter,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.Reporter,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapred.TaskAttemptContext,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.util.Progressable,229,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fabian Hueske     ,Fabian Hueske,import org.apache.hadoop.io.Writable,1297,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aljoscha Krettek      ,Aljoscha Krettek,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Aljoscha Krettek      ,Aljoscha Krettek,import org.apache.hadoop.mapreduce.Job,1298,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ajay Bhat           ,Ajay Bhat,import org.apache.hadoop.util.GenericOptionsParser,557,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.Job,73,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.JobID,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptID,98,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ufuk Celebi        ,Ufuk Celebi,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.JobID,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.RecordReader,,,,,,,,,,,,,,,
